New Terminal Output:

root@4758e662acd5:/app# cat > /app/explore2.py << 'EOF'
> import numpy as np, io
> with open('/app/graphene.dat') as f:
>     txt = f.read().replace(',', '.')
> data = np.loadtxt(io.StringIO(txt))
> x = data[:,0]; y = data[:,1]
> if x[0] > x[-1]:
>     x = x[::-1]; y = y[::-1]
> print('monotonic increasing:', np.all(np.diff(x)>0))
> print('x[:5]', x[:5])
> print('x[1670:1690]', x[1670:1690])
> print('--- G region x<1800 ---')
> m = x < 1800
> for xi, yi in zip(x[m], y[m]):
>     print(f'{xi:10.3f} {yi:10.3f}')
> EOF
root@4758e662acd5:/app# python3 /app/explore2.py
monotonic increasing: True
x[:5] [1648.724404 1648.985151 1649.246046 1649.507095 1649.768294]
x[1670:1690] [2469.161311 2470.078165 2470.995956 2471.914692 2472.834375 2473.754999
 2474.676567 2475.599084 2476.522554 2477.446976 2478.372347 2479.298674
 2480.225958 2481.154195 2482.083391 2483.013549 2483.944663 2484.876742
 2485.809792 2486.743797]
--- G region x<1800 ---
  1648.724   5950.923
  1648.985   5911.447
  1649.246   6009.428
  1649.507   6005.066
  1649.768   6062.726
  1650.030   6090.511
  1650.291   6157.269
  1650.553   6150.191
  1650.815   6154.492
  1651.077   6302.951
  1651.339   6193.454
  1651.601   6161.654
  1651.863   6150.103
  1652.126   6004.104
  1652.389   6285.425
  1652.651   6034.853
  1652.914   6214.278
  1653.178   5895.449
  1653.441   5773.130
  1653.704   5869.937
  1653.968   6061.002
  1654.232   6149.483
  1654.496   6169.364
  1654.760   6356.867
  1655.024   6169.065
  1655.288   6325.166
  1655.553   6274.229
  1655.818   6225.889
  1656.083   6410.160
  1656.348   6344.914
  1656.613   6249.561
  1656.878   6188.139
  1657.143   5802.032
  1657.409   6050.918
  1657.675   6086.868
  1657.941   6081.935
  1658.207   5737.179
  1658.473   6013.730
  1658.739   5996.540
  1659.006   5886.471
  1659.273   6066.721
  1659.540   6274.791
  1659.807   6230.742
  1660.074   6474.279
  1660.341   6045.347
  1660.609   6124.392
  1660.876   6152.581
  1661.144   5927.252
  1661.412   6017.724
  1661.680   5771.900
  1661.948   6015.208
  1662.217   5827.548
  1662.485   5857.613
  1662.754   5872.925
  1663.023   5990.266
  1663.292   5999.776
  1663.561   6042.319
  1663.830   6043.793
  1664.100   5878.554
  1664.370   5836.320
  1664.639   5580.038
  1664.909   5796.141
  1665.180   6020.070
  1665.450   5973.912
  1665.720   5899.022
  1665.991   5872.843
  1666.262   5903.444
  1666.533   6077.439
  1666.804   6228.422
  1667.075   6188.083
  1667.346   5991.900
  1667.618   5845.364
  1667.890   5529.282
  1668.162   5588.599
  1668.434   5756.211
  1668.706   5458.516
  1668.978   5614.961
  1669.251   5372.848
  1669.523   5543.753
  1669.796   5541.856
  1670.069   5813.427
  1670.342   5924.203
  1670.616   5727.323
  1670.889   5832.255
  1671.163   5986.906
  1671.437   5854.001
  1671.711   5963.136
  1671.985   5845.828
  1672.259   6002.173
  1672.534   5949.934
  1672.808   5929.264
  1673.083   5547.971
  1673.358   6135.358
  1673.633   5622.846
  1673.908   5788.409
  1674.184   5776.622
  1674.459   5731.853
  1674.735   5627.475
  1675.011   5918.601
  1675.287   5665.233
  1675.563   5684.690
  1675.840   5729.220
  1676.116   5552.198
  1676.393   5751.246
  1676.670   5579.814
  1676.947   5663.154
  1677.224   5965.266
  1677.502   5781.164
  1677.779   5398.102
  1678.057   5391.624
  1678.335   5545.181
  1678.613   5767.389
  1678.891   5676.452
  1679.169   5527.141
  1679.448   5748.371
  1679.727   5564.781
  1680.005   5323.283
  1680.284   5444.959
  1680.564   5646.356
  1680.843   5614.624
  1681.122   5727.328
  1681.402   5629.386
  1681.682   5805.751
  1681.962   5876.152
  1682.242   5749.580
  1682.523   5759.095
  1682.803   5839.851
  1683.084   5664.732
  1683.365   5478.252
  1683.646   5942.170
  1683.927   5859.369
  1684.208   5651.561
  1684.490   5703.483
  1684.771   5591.195
  1685.053   5581.665
  1685.335   5640.180
  1685.618   5678.356
  1685.900   5609.775
  1686.182   5799.242
  1686.465   5450.869
  1686.748   5530.217
  1687.031   5640.181
  1687.314   5512.886
  1687.598   5720.600
  1687.881   5783.276
  1688.165   5652.604
  1688.449   5772.783
  1688.733   5573.322
  1689.017   5623.644
  1689.302   5595.866
  1689.586   5478.729
  1689.871   5619.423
  1690.156   5368.015
  1690.441   5387.795
  1690.726   5649.196
  1691.011   5291.036
  1691.297   5331.884
  1691.583   5258.405
  1691.869   5330.875
  1692.155   5216.439
  1692.441   5532.760
  1692.728   5283.504
  1693.014   5548.966
  1693.301   5419.462
  1693.588   5584.857
  1693.875   5371.256
  1694.162   5473.524
  1694.450   5446.869
  1694.737   5303.546
  1695.025   5215.940
  1695.313   5393.245
  1695.601   5659.823
  1695.890   5513.383
  1696.178   5364.557
  1696.467   5540.465
  1696.756   5361.965
  1697.045   5524.382
  1697.334   5490.699
  1697.624   5361.871
  1697.913   5270.571
  1698.203   5557.500
  1698.493   5587.343
  1698.783   5408.666
  16
[... output limited to 10000 bytes; 70 interior bytes omitted ...]
832
  1725.625   5206.336
  1725.932   4973.470
  1726.238   4999.247
  1726.546   5060.499
  1726.853   4997.234
  1727.160   5331.081
  1727.468   4812.442
  1727.775   5034.442
  1728.083   4969.618
  1728.392   4759.184
  1728.700   4759.668
  1729.008   4753.132
  1729.317   4766.709
  1729.626   4770.376
  1729.935   4990.821
  1730.244   4829.844
  1730.554   4753.273
  1730.864   4962.708
  1731.174   4825.295
  1731.484   4828.688
  1731.794   4918.338
  1732.104   4709.607
  1732.415   4962.975
  1732.726   4872.811
  1733.037   4890.221
  1733.348   4818.574
  1733.659   4953.503
  1733.971   5015.447
  1734.283   4664.526
  1734.595   4971.221
  1734.907   4953.257
  1735.219   4816.574
  1735.532   4952.284
  1735.845   4837.955
  1736.158   4852.915
  1736.471   4802.608
  1736.784   4896.519
  1737.098   4899.674
