New Terminal Output:

root@afeeb31381b7:/app# df -h /app /tmp /var /logs; echo '---'; ls -la /logs; echo '---'; du -sh /* 2>/dev/null | sort -h | tail -20
Filesystem      Size  Used Avail Use% Mounted on
fuse-overlayfs  984G  960G     0 100% /
fuse-overlayfs  984G  960G     0 100% /
fuse-overlayfs  984G  960G     0 100% /
/dev/vdb        984G  960G     0 100% /logs
---
total 28
drwxr-xr-x  2 root root  4096 Jul  2 21:07 .
drwxr-xr-x 19 root root  4096 Jul  2 21:07 ..
-rw-r--r--  1 root root 10435 Jul  2 21:10 agent.cast
-rw-r--r--  1 root root  6671 Jul  2 21:10 agent.log
---
0       /dev
0       /lib
0       /lib64
0       /proc
0       /sbin
0       /sys
4.0K    /app
4.0K    /boot
4.0K    /media
4.0K    /mnt
4.0K    /opt
4.0K    /srv
12K     /tmp
16K     /run
20K     /home
24K     /logs
32K     /root
1.5M    /etc
56M     /var
123M    /usr
root@afeeb31381b7:/app#
