New Terminal Output:

y range 40.090842 79400.095085
num peaks 43
x=1656.1 y=6410.2
x=1660.1 y=6474.3
x=1666.8 y=6228.4
x=1673.4 y=6135.4
x=1683.6 y=5942.2
x=1703.7 y=5587.3
x=1727.2 y=5331.1
x=1746.0 y=4850.7
x=1755.0 y=4816.2
x=1760.2 y=4799.3
x=1764.8 y=4669.5
x=1783.7 y=4504.0
x=1787.8 y=4331.4
x=1806.1 y=4406.5
x=1819.9 y=4063.2
x=1831.4 y=3886.9
x=1848.9 y=3705.4
x=1900.7 y=3223.0
x=1912.6 y=3005.0
x=1987.8 y=2497.9
x=2000.1 y=2470.4
x=2011.1 y=2308.3
x=2059.8 y=2098.5
x=2090.3 y=1859.3
x=2111.7 y=1670.4
x=2233.7 y=1269.6
x=2302.2 y=1141.4
x=2352.7 y=1107.2
x=2434.1 y=842.6
x=2454.6 y=844.7
x=2539.6 y=660.9
x=2716.3 y=601.8
x=2893.0 y=728.9
x=3084.7 y=1300.7
x=3288.9 y=1090.3
x=3745.1 y=12920.9
x=4083.6 y=2873.8
x=6329.4 y=13777.7
x=6971.4 y=7024.8
x=10289.9 y=18805.2
x=16245.6 y=18159.9
x=19139.5 y=79400.1
x=33245.0 y=21252.7
root@4008c52d3fe4:/app# python3 /tmp/explore.py 2>&1 | tail -30

