New Terminal Output:

root@f753479266fc:/app# cat > peaks2.py << 'EOF'
> import numpy as np
> data = np.loadtxt('graphene.dat', delimiter=None,
>                   converters={0: lambda s: float(s.replace(',','.')),
>                               1: lambda s: float(s.replace(',','.'))})
> x = data[:,0]; y = data[:,1]
> mask = (y[1:-1] > y[:-2]) & (y[1:-1] >= y[2:])
> idx = np.where(mask)[0] + 1
> print('num local maxima:', len(idx))
> for i in idx:
>     print(f'  x={x[i]:10.3f}  y={y[i]:10.2f}')
> EOF
root@f753479266fc:/app# python3 peaks2.py
num local maxima: 1096
  x= 46588.360  y=  19266.09
  x= 43314.029  y=  19812.86
  x= 42323.866  y=  19764.87
  x= 40475.251  y=  19704.07
  x= 39611.084  y=  19672.57
  x= 36860.880  y=  19652.30
  x= 36144.980  y=  19684.21
  x= 35122.653  y=  19895.77
  x= 33244.969  y=  21252.73
  x= 30782.841  y=  18641.46
  x= 27019.885  y=  16360.99
  x= 26638.043  y=  16289.40
  x= 25906.582  y=  15792.47
  x= 25556.068  y=  15587.09
  x= 24402.290  y=  15091.12
  x= 23939.880  y=  14876.86
  x= 23641.473  y=  14777.80
  x= 23350.612  y=  14669.95
  x= 21625.657  y=  12463.45
  x= 21383.262  y=  12430.00
  x= 21146.401  y=  12443.70
  x= 19332.107  y=  79083.27
  x= 19139.544  y=  79400.10
  x= 16954.541  y=  17175.14
  x= 16245.584  y=  18159.87
  x= 15721.279  y=  16443.83
  x= 15231.049  y=  15515.04
  x= 15055.328  y=  15405.05
  x= 14827.512  y=  15014.57
  x= 14340.341  y=  13935.49
  x= 14185.299  y=  13661.90
  x= 14033.726  y=  13687.49
  x= 13885.507  y=  13356.65
  x= 13740.532  y=  13139.65
  x= 13598.694  y=  13080.60
  x= 13414.286  y=  13107.38
  x= 13324.036  y=  12850.05
  x= 13191.026  y=  12832.92
  x= 13103.891  y=  12780.65
  x= 13017.958  y=  12762.23
  x= 12891.256  y=  12573.59
  x= 12808.218  y=  12794.78
  x= 12685.751  y=  12716.61
  x= 12565.724  y=  12650.13
  x= 12487.026  y=  12501.36
  x= 12409.359  y=  12660.20
  x= 12257.041  y=  12520.97
  x= 12182.350  y=  12619.27
  x= 11928.327  y=  12282.15
  x= 11857.790  y=  12097.72
  x= 11788.128  y=  12021.04
  x= 11719.326  y=  12026.28
  x= 11617.700  y=  11959.31
  x= 11517.922  y=  11839.56
  x= 11452.404  y=  11947.22
  x= 11323.707  y=  12055.71
  x= 11229.177  y=  11882.81
  x= 11136.305  y=  11960.55
  x= 11045.047  y=  11834.78
  x= 10925.809  y=  12025.71
  x= 10611.564  y=  18754.71
  x= 10556.480  y=  18602.12
  x= 10502.001  y=  18717.43
  x= 10394.818  y=  18633.11
  x= 10342.096  y=  18758.66
  x= 10289.940  y=  18805.24
  x= 10238.342  y=  18649.56
  x=  9939.980  y=  12012.63
  x=  9547.709  y=   9753.78
  x=  9460.171  y=   9438.34
  x=  9374.337  y=   9405.79
  x=  9290.158  y=   9216.32
  x=  9228.080  y=   9198.52
  x=  9146.683  y=   9253.18
  x=  9086.640  y=   9040.09
  x=  9007.890  y=   9002.45
  x=  8949.783  y=   8853.20
  x=  8873.552  y=   8659.40
  x=  8817.291  y=   8857.39
  x=  8761.793  y=   8654.89
  x=  8688.957  y=   8550.37
  x=  8635.181  y=   8749.39
  x=  8582.119  y=   8490.94
  x=  8529.757  y=   8374.40
  x=  8495.231  y=   8327.32
