New Terminal Output:

python3 -c 'import py7zr; print(py7zr.__version__)' 2>&1 | head -2
/app/john/run/7z2john.pl
/app/john/run/opencl/7z_kernel.cl
/app/john/src/lzma/7zTypes.h
/app/john/src/7z_fmt_plug.c
/app/john/src/7z_fmt_plug.o
/app/john/src/7z_common.h
/app/john/src/7z_common_plug.c
/app/john/src/7z_common_plug.o
END
root@07a4b9808a04:/app# ls -la /app/john/run 2>/dev/null
total 82708
drwxr-xr-x 10 root root     4096 Jul  2 16:08 .
drwxr-xr-x 10 root root     4096 Jul  2 16:07 ..
-rwxr-xr-x  1 root root    11545 Jul  2 15:33 1password2john.py
-rwxr-xr-x  1 root root    97726 Jul  2 15:33 7z2john.pl
-rwxr-xr-x  1 root root    26197 Jul  2 15:33 DPAPImk2john.py
-rwxr-xr-x  1 root root     3800 Jul  2 15:33 adxcsouf2john.py
-rwxr-xr-x  1 root root     2729 Jul  2 15:33 aem2john.py
-rwxr-xr-x  1 root root      894 Jul  2 15:33 aix2john.pl
-rwxr-xr-x  1 root root     1958 Jul  2 15:33 aix2john.py
-rw-r--r--  1 root root  4086722 Jul  2 15:33 alnum.chr
-rw-r--r--  1 root root  4174257 Jul  2 15:33 alnumspace.chr
-rw-r--r--  1 root root  1950539 Jul  2 15:33 alpha.chr
-rwxr-xr-x  1 root root     1368 Jul  2 15:33 andotp2john.py
-rwxr-xr-x  1 root root     3455 Jul  2 15:33 androidbackup2john.py
-rwxr-xr-x  1 root root     7471 Jul  2 15:33 androidfde2john.py
-rwxr-xr-x  1 root root     1758 Jul  2 15:33 ansible2john.py
-rwxr-xr-x  1 root root      731 Jul  2 15:33 apex2john.py
-rwxr-xr-x  1 root root     2140 Jul  2 15:33 apop2john.py
-rwxr-xr-x  1 root root     2074 Jul  2 15:33 applenotes2john.py
-rwxr-xr-x  1 root root     1447 Jul  2 15:33 aruba2john.py
-rw-r--r--  1 root root  5720262 Jul  2 15:33 ascii.chr
-rwxr-xr-x  1 root root      614 Jul  2 15:33 atmail2john.pl
-rwxr-xr-x  1 root root     6299 Jul  2 15:33 axcrypt2john.py
lrwxrwxrwx  1 root root        4 Jul  2 16:08 base64conv -> john
-rwxr-xr-x  1 root root    10577 Jul  2 15:33 benchmark-unify
-rwxr-xr-x  1 root root    10174 Jul  2 15:33 bestcrypt2john.py
-rwxr-xr-x  1 root root     2314 Jul  2 15:33 bestcryptve2john.py
drwxr-xr-x  2 root root     4096 Jul  2 15:33 bip-0039
-rwxr-xr-x  1 root root     9421 Jul  2 15:33 bitcoin2john.py
-rwxr-xr-x  1 root root   206872 Jul  2 16:08 bitlocker2john
-rwxr-xr-x  1 root root    10001 Jul  2 15:33 bitlocker2john.py
-rwxr-xr-x  1 root root     2725 Jul  2 15:33 bitshares2john.py
