Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

New Terminal Output:

root@d597f6d82497:/app# python3 -c "d=open('/app/secrets.7z','rb').read(); nh=d[32+149:32+149+34]; print('len',len(nh)); [print(i, hex(b), b) for i,b in enumera
te(nh)]"
len 34
0 0x17 23
1 0x6 6
2 0x10 16
3 0x1 1
4 0x9 9
5 0x80 128
6 0x85 133
7 0x0 0
8 0x7 7
9 0xb 11
10 0x1 1
11 0x0 0
12 0x1 1
13 0x23 35
14 0x3 3
15 0x1 1
16 0x1 1
17 0x5 5
18 0x5d 93
19 0x0 0
20 0x10 16
21 0x0 0
22 0x0 0
23 0xc 12
24 0x80 128
25 0xa6 166
26 0xa 10
27 0x1 1
28 0x22 34
29 0x4c 76
30 0x2d 45
31 0x3a 58
32 0x0 0
33 0x0 0
root@d597f6d82497:/app#
