LoCoMo native protocol — final five-arm comparison
ours: self-contained fact extraction + entity-grouped chronological recall,
      retrieval inside the memlayer SDK (PatchMemory embedder), d881f62c
baselines/nomem: staged run, identical shared answerer prompt
answerer=gpt-5.5  extract=gpt-5.4-mini  judge=gpt-5.6-sol  BENCH_N=3

== J% ==
cat                nomem     raw    amem    mem0    ours    full     n
1 multi-hop          8.1    32.4    25.7    44.6    47.3    48.6    74
2 temporal           1.1     7.8    73.3    63.3    82.2    70.0    90
3 open-domain       57.1    71.4    66.7    66.7    66.7    66.7    21
4 single-hop        17.5    67.0    61.0    76.0    73.5    69.5   200
5 detail            21.4    44.6    56.2    42.9    42.9    63.4   112
ALL                 15.7    46.3    57.1    61.2    64.0    65.0   497

== F1% ==
cat                nomem     raw    amem    mem0    ours    full     n
1 multi-hop         15.9    41.6    43.0    46.1    48.7    52.1    74
2 temporal           3.6    10.5    63.1    59.6    71.4    67.4    90
3 open-domain       19.3    24.8    33.6    34.2    27.7    31.5    21
4 single-hop        21.2    55.7    49.6    57.7    59.0    54.9   200
5 detail            20.3    42.8    50.5    39.4    37.0    58.2   112
ALL                 17.0    41.2    50.6    51.2    53.5    56.5   497

