LoCoMo native — answerer=hy3 (taiji, effort=high), extract=gpt-5.4-mini, judge=gpt-5.6-sol

== J% ==
cat                nomem     raw    amem    mem0    ours     n
1 multi-hop          4.1    28.4     1.4    39.2    41.9    74
2 temporal           3.3     3.3     0.0    70.0    78.9    90
3 open-domain       38.1    47.6    42.9    52.4    61.9    21
4 single-hop        13.0    58.5    10.5    65.5    65.0   200
5 detail             8.9    12.5     8.0    12.5    14.3   112
ALL                 10.1    33.2     8.0    49.9    52.5   497

== F1% ==
cat                nomem     raw    amem    mem0    ours     n
1 multi-hop          6.5    12.5     3.4    22.9    21.2    74
2 temporal           3.5     2.2    17.7    42.9    50.4    90
3 open-domain       10.4     9.8    15.7    15.6    20.8    21
4 single-hop        12.0    26.8     7.8    31.6    33.7   200
5 detail            11.5     4.6     7.4     5.6     5.8   112
ALL                  9.5    14.5     9.2    25.8    28.0   497
