LoCoMo native protocol — per-category breakdown (5-arm run @2f8fad12)
answerer=gpt-5.5  extract=gpt-5.4-mini  judge=gpt-5.6-sol  BENCH_N=3 (497 q)
NOTE: ours = pre-cab3c334 (before exhaustive-detail extraction / 2x recall);
      nomem = muzzled-prompt artifact (J~0 by construction); both being rerun.

== J% by category ==
cat                       mem0    amem    ours    full   nomem     n
1 multi-hop               45.9    28.4    37.8    43.2     0.0    74
2 temporal                65.6    71.1    77.8    65.6     0.0    90
3 open-domain             38.1    52.4    28.6    42.9     0.0    21
4 single-hop              74.5    58.0    64.0    69.0     0.0   200
5 detail/adversarial      20.5    38.4    12.5    50.9     1.8   112
ALL                       54.9    51.3    49.5    59.4     0.4   497

== F1% by category ==
cat                       mem0    amem    ours    full   nomem     n
1 multi-hop               45.7    41.7    40.8    50.5     0.0    74
2 temporal                57.5    60.0    63.7    59.8     0.0    90
3 open-domain             23.1    25.8    13.6    18.8     0.0    21
4 single-hop              57.7    48.1    54.0    56.0     0.0   200
5 detail/adversarial      19.5    33.3    11.9    41.7     0.0   112
ALL                       45.8    45.0    42.6    51.1     0.0   497

