LoCoMo native protocol — staged rerun (all arms, one code+prompt version @7d1d7bc2)
answerer=gpt-5.5  extract=gpt-5.4-mini  judge=gpt-5.6-sol  BENCH_N=3
arms present: nomem, amem, mem0, ours, full

== J% ==
cat                  nomem    amem    mem0    ours    full     n
1 multi-hop            8.1    25.7    44.6    28.4    48.6    74
2 temporal             1.1    73.3    63.3    73.3    70.0    90
3 open-domain         57.1    66.7    66.7    71.4    66.7    21
4 single-hop          17.5    61.0    76.0    61.0    69.5   200
5 detail              21.4    56.2    42.9    34.8    63.4   112
ALL                   15.7    57.1    61.2    52.9    65.0   497

== F1% ==
cat                  nomem    amem    mem0    ours    full     n
1 multi-hop           15.9    43.0    46.1    35.2    52.1    74
2 temporal             3.6    63.1    59.6    65.5    67.4    90
3 open-domain         19.3    33.6    34.2    29.6    31.5    21
4 single-hop          21.2    49.6    57.7    52.1    54.9   200
5 detail              20.3    50.5    39.4    32.5    58.2   112
ALL                   17.0    50.6    51.2    46.7    56.5   497

